"filename", "language", "TypeScript", "HTML", "Svelte", "CSS", "SCSS", "JSON", "JSON with Comments", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.github/workflows/test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 3, 23
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.prettierrc", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/auto-imports.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package-lock.json", "JSON", 0, 0, 0, 0, 0, 6746, 0, 0, 0, 0, 0, 1, 6747
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/privacypolicy.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 2, 1, 64
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/auto-imports.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Auth.svelte", "Svelte", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/DatabaseProps.svelte", "Svelte", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 18, 143
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Flow.svelte", "Svelte", 0, 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 29, 507
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Organizer.svelte", "Svelte", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 6, 28, 377
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Popup.svelte", "Svelte", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/Props.svelte", "Svelte", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 15, 154
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/context-menu/ContextMenu.svelte", "Svelte", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 21, 9, 117
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/context-menu/ContextMenuOption.svelte", "Svelte", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsCheckbox.svelte", "Svelte", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsDate.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsEmail.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsFiles.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsFormula.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsMultiSelect.svelte", "Svelte", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsNumber.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsPeople.svelte", "Svelte", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsPhoneNumber.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsRelation.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsRichText.svelte", "Svelte", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
